"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Seraphine","Support",3,"4.1%","74.3%","89.2%","67%","0%",6,7,30,5.1,"80.0%","17.5%","0%",-356,-135,-2.3,1.1,"3.0%",216,"11.5%","10.0%",1.27,0.21
"Sett","Top",3,"4.1%","1.4%","5.4%","67%","100%",9,7,18,3.9,"61.4%","23.3%","0%",294,89,9.3,6.3,"19.0%",446,"20.0%","20.5%",0.44,0.15
"Sion","ADC",2,"2.7%","10.8%","40.5%","0%","100%",1,8,6,0.9,"70.0%","25.0%","50%",-801,-424,-29.5,6.3,"21.3%",213,"15.5%","17.8%",0.49,0.08
"Sion","Top",20,"27.0%","10.8%","40.5%","35%","25%",32,63,113,2.3,"56.0%","21.4%","10%",-343,-193,-12.5,6.6,"20.3%",314,"17.4%","18.5%",0.47,0.12
"Sivir","ADC",3,"4.1%","0.0%","4.1%","67%","67%",17,7,20,5.3,"78.7%","21.2%","33%",112,-156,-4.7,8.4,"29.3%",412,"24.0%","25.8%",0.38,0.41
"Skarner","Jungle",4,"5.4%","5.4%","10.8%","50%","100%",6,11,38,4,"77.2%","22.9%","25%",-376,-913,-23.5,4.8,"13.6%",173,"10.2%","14.8%",0.38,0.38
"Sylas","Jungle",1,"1.4%","28.4%","45.9%","100%","100%",6,1,15,21,"61.8%","9.1%","0%",-77,-99,-4,5.3,"15.3%",633,"20.2%","16.9%",0.19,0.04
"Sylas","Middle",12,"16.2%","28.4%","45.9%","50%","42%",50,32,63,3.5,"67.3%","18.6%","42%",-215,-79,-4.8,7.7,"24.1%",495,"23.8%","23.3%",0.47,0.13
"Syndra","Middle",12,"16.2%","12.2%","28.4%","50%","67%",45,24,49,3.9,"65.7%","16.4%","25%",71,125,3.8,8.9,"28.3%",524,"28.9%","25.0%",0.43,0.16
"Tahm Kench","Support",18,"24.3%","23.0%","47.3%","50%","61%",4,63,151,2.5,"61.5%","25.5%","28%",136,221,12.9,2.1,"4.9%",142,"8.0%","10.1%",1.23,0.2
"Taric","Support",1,"1.4%","0.0%","1.4%","100%","100%",2,1,13,15,"78.9%","6.7%","0%",-29,272,4,1.2,"3.3%",111,"4.5%","11.3%",1.22,0.33
"Thresh","Support",15,"20.3%","60.8%","81.1%","67%","20%",13,35,160,4.9,"72.4%","19.7%","40%",326,161,1.2,1,"2.2%",120,"6.3%","9.1%",1.48,0.32
"Tristana","ADC",14,"18.9%","63.5%","83.8%","64%","14%",67,36,62,3.6,"58.4%","16.0%","7%",-132,68,-3.9,9.5,"33.6%",540,"26.8%","27.6%",0.69,0.39
"Tristana","Middle",1,"1.4%","63.5%","83.8%","100%","0%",6,3,7,4.3,"76.5%","25.0%","100%",44,-141,-11,9.2,"28.3%",455,"22.6%","27.8%",0.52,0.26
"Twisted Fate","Middle",5,"6.8%","28.4%","35.1%","60%","60%",10,5,40,10,"66.7%","9.6%","40%",480,233,4.2,8.6,"23.9%",455,"22.9%","24.5%",0.46,0.14
